id,activity,application,application_id,attachments,attachments.0.content_scan_version,attachments.0.content_type,attachments.0.filename,attachments.0.height,attachments.0.id,attachments.0.placeholder,attachments.0.placeholder_version,attachments.0.proxy_url,attachments.0.size,attachments.0.title,attachments.0.url,attachments.0.width,author.avatar,author.avatar_decoration_data,author.avatar_decoration_data.asset,author.avatar_decoration_data.expires_at,author.avatar_decoration_data.sku_id,author.bot,author.clan,author.clan.badge,author.clan.identity_enabled,author.clan.identity_guild_id,author.clan.tag,author.discriminator,author.global_name,author.id,author.primary_guild,author.primary_guild.badge,author.primary_guild.identity_enabled,author.primary_guild.identity_guild_id,author.primary_guild.tag,author.public_flags,author.username,call,channel_id,components,content,date,edited_timestamp,embeds,embeds.0.author.icon_url,embeds.0.author.name,embeds.0.author.proxy_icon_url,embeds.0.author.url,embeds.0.color,embeds.0.content_scan_version,embeds.0.description,embeds.0.footer.icon_url,embeds.0.footer.proxy_icon_url,embeds.0.footer.text,embeds.0.image.flags,embeds.0.image.height,embeds.0.image.placeholder,embeds.0.image.placeholder_version,embeds.0.image.proxy_url,embeds.0.image.url,embeds.0.image.width,embeds.0.provider.name,embeds.0.provider.url,embeds.0.reference_id,embeds.0.thumbnail.flags,embeds.0.thumbnail.height,embeds.0.thumbnail.placeholder,embeds.0.thumbnail.placeholder_version,embeds.0.thumbnail.proxy_url,embeds.0.thumbnail.url,embeds.0.thumbnail.width,embeds.0.timestamp,embeds.0.title,embeds.0.type,embeds.0.url,embeds.0.video.flags,embeds.0.video.height,embeds.0.video.placeholder,embeds.0.video.placeholder_version,embeds.0.video.proxy_url,embeds.0.video.url,embeds.0.video.width,flags,interaction,interaction.id,interaction.name,interaction.type,interaction.user.avatar,interaction.user.avatar_decoration_data,interaction.user.clan,interaction.user.discriminator,interaction.user.global_name,interaction.user.id,interaction.user.primary_guild,interaction.user.public_flags,interaction.user.username,mention_channels,mention_everyone,mentions,mentions.0.avatar,mentions.0.avatar_decoration_data,mentions.0.avatar_decoration_data.asset,mentions.0.avatar_decoration_data.expires_at,mentions.0.avatar_decoration_data.sku_id,mentions.0.bot,mentions.0.clan,mentions.0.clan.badge,mentions.0.clan.identity_enabled,mentions.0.clan.identity_guild_id,mentions.0.clan.tag,mentions.0.discriminator,mentions.0.global_name,mentions.0.id,mentions.0.primary_guild,mentions.0.primary_guild.badge,mentions.0.primary_guild.identity_enabled,mentions.0.primary_guild.identity_guild_id,mentions.0.primary_guild.tag,mentions.0.public_flags,mentions.0.username,mentions.1.avatar,mentions.1.avatar_decoration_data,mentions.1.bot,mentions.1.clan,mentions.1.discriminator,mentions.1.global_name,mentions.1.id,mentions.1.primary_guild,mentions.1.public_flags,mentions.1.username,message_reference,message_reference.channel_id,message_reference.guild_id,message_reference.message_id,message_reference.type,nonce,pinned,position,reactions,referenced_message,resolved,role_subscription_data,sticker_items,sticker_items.0.format_type,sticker_items.0.id,sticker_items.0.name,stickers,thread,timestamp,tts,type,userName,webhook_id
1332247597125074944,,,,,,,,,,,,,,,,,49e520d8a0a563a8c4da60ecd1dc8a0b,,,,,,,,,,,0,Izo,530992376013914125,,,,,,0,izo12,,1013855610871226480,,i still cant buy this nigga elliot,2025-01-24T07:16:19.118Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,2025-01-24T07:16:19.118000+00:00,false,0,izo12,
1332247596206395402,,,,,,,,,,,,,,,,,35ff286a9e07add0a201b2c5f4653eea,,,,,,,aa3ae17cf3404b511debb7316bcd8b8d,true,1176267490641334367,rich,0,Ant,972046210649161748,,aa3ae17cf3404b511debb7316bcd8b8d,true,1176267490641334367,rich,0,alqosh,,1013855610871226480,,to come,2025-01-24T07:16:18.899Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,2025-01-24T07:16:18.899000+00:00,false,0,alqosh,
1332247596185686037,,,,,,,,,,,,,,,,,a_a45e3259d85305e8fa8ab209bc617213,,a_8ffa2ba9bff18e96b76c2e66fd0d7fa3,,1144307957425778779,,,86735389348f3eacfa519eb553df38fd,true,1247268142879604810,^_^,0,wheat,534951388728262687,,86735389348f3eacfa519eb553df38fd,true,1247268142879604810,^_^,256,wheated,,1013855610871226480,,it doesnt show on frontend,2025-01-24T07:16:18.894Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,2025-01-24T07:16:18.894000+00:00,false,0,wheated,
1332247592989495367,,,,,,,,,,,,,,,,,35ff286a9e07add0a201b2c5f4653eea,,,,,,,aa3ae17cf3404b511debb7316bcd8b8d,true,1176267490641334367,rich,0,Ant,972046210649161748,,aa3ae17cf3404b511debb7316bcd8b8d,true,1176267490641334367,rich,0,alqosh,,1013855610871226480,,it took 1 hour,2025-01-24T07:16:18.132Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,2025-01-24T07:16:18.132000+00:00,false,0,alqosh,
1332247581090123810,,,,,,,,,,,,,,,,,35ff286a9e07add0a201b2c5f4653eea,,,,,,,aa3ae17cf3404b511debb7316bcd8b8d,true,1176267490641334367,rich,0,Ant,972046210649161748,,aa3ae17cf3404b511debb7316bcd8b8d,true,1176267490641334367,rich,0,alqosh,,1013855610871226480,,listen to me,2025-01-24T07:16:15.295Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,2025-01-24T07:16:15.295000+00:00,false,0,alqosh,
1332247579127447572,,,,,,,,,,,,,,,,,a_a45e3259d85305e8fa8ab209bc617213,,a_8ffa2ba9bff18e96b76c2e66fd0d7fa3,,1144307957425778779,,,86735389348f3eacfa519eb553df38fd,true,1247268142879604810,^_^,0,wheat,534951388728262687,,86735389348f3eacfa519eb553df38fd,true,1247268142879604810,^_^,256,wheated,,1013855610871226480,,no,2025-01-24T07:16:14.827Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,2025-01-24T07:16:14.827000+00:00,false,0,wheated,
1332247572315635794,,,,,,,,,,,,,,,,,35ff286a9e07add0a201b2c5f4653eea,,,,,,,aa3ae17cf3404b511debb7316bcd8b8d,true,1176267490641334367,rich,0,Ant,972046210649161748,,aa3ae17cf3404b511debb7316bcd8b8d,true,1176267490641334367,rich,0,alqosh,,1013855610871226480,,girl,2025-01-24T07:16:13.203Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,2025-01-24T07:16:13.203000+00:00,false,0,alqosh,
1332247567785918515,,,,,,,,,,,,,,,,,35ff286a9e07add0a201b2c5f4653eea,,,,,,,aa3ae17cf3404b511debb7316bcd8b8d,true,1176267490641334367,rich,0,Ant,972046210649161748,,aa3ae17cf3404b511debb7316bcd8b8d,true,1176267490641334367,rich,0,alqosh,,1013855610871226480,,wheat,2025-01-24T07:16:12.123Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,2025-01-24T07:16:12.123000+00:00,false,0,alqosh,
1332247562589048863,,,,,,,,,,,,,,,,,35ff286a9e07add0a201b2c5f4653eea,,,,,,,aa3ae17cf3404b511debb7316bcd8b8d,true,1176267490641334367,rich,0,Ant,972046210649161748,,aa3ae17cf3404b511debb7316bcd8b8d,true,1176267490641334367,rich,0,alqosh,,1013855610871226480,,it took 1 hour,2025-01-24T07:16:10.884Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,2025-01-24T07:16:10.884000+00:00,false,0,alqosh,
1332247555156873307,,,,,,,,,,,,,,,,,a_a45e3259d85305e8fa8ab209bc617213,,a_8ffa2ba9bff18e96b76c2e66fd0d7fa3,,1144307957425778779,,,86735389348f3eacfa519eb553df38fd,true,1247268142879604810,^_^,0,wheat,534951388728262687,,86735389348f3eacfa519eb553df38fd,true,1247268142879604810,^_^,256,wheated,,1013855610871226480,,u just transfer sol,2025-01-24T07:16:09.112Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,2025-01-24T07:16:09.112000+00:00,false,0,wheated,
